Relic;Class;Band;MaxHP;HP_norm;DPS_norm;EHP_norm;TTD_solo_norm;TTD_focus3_norm
Assassin;Assassin;0.3;1500;1500;154;1500;25;8.333
BaseRelic;Bruiser;0.3;2000;2000;110;2000;33.333;11.111
Cryomancer;Ranged;0.3;1300;1300;132;1300;21.667;7.222
Defender;Tank;0.3;3000;3000;55;3000;50;16.667
Druid;Support;0.3;1300;1300;55;1300;21.667;7.222
FlameSwordsman;Bruiser;0.3;2000;2000;110;2000;33.333;11.111
IronSpearman;Bruiser;0.3;2000;2000;110;2000;33.333;11.111
LightShepherd;Support;0.3;1300;1300;55;1300;21.667;7.222
Ranger;Ranged;0.3;1300;1300;132;1300;21.667;7.222
Treant;Tank;0.3;3000;3000;55;3000;50;16.667
WhirlMonk;Bruiser;0.3;2000;2000;110;2000;33.333;11.111
