Relic;Class;Band;MaxHP;HP_norm;DPS_norm;HPS_norm;EHP_norm;TTD_solo_norm;TTD_focus3_norm
Antimage;Tank;0.3;3000;3000;55;0;4800;80;26.667
Arcanist;Ranged;0.3;1300;1300;132;0;1430;23.833;7.944
Assassin;Assassin;0.3;1500;1500;154;0;1725;28.75;9.583
BaseRelic;Bruiser;0.3;1000;2000;110;0;2600;43.333;14.444
Cryomancer;Ranged;0.3;1300;1300;132;0;1430;23.833;7.944
Defender;Tank;0.3;2400;3000;55;0;4800;80;26.667
Dreameater;Ranged;0.3;1300;1300;132;0;1430;23.833;7.944
Druid;Support;0.3;1300;1300;55;0;1430;23.833;7.944
Emberkeeper;Support;0.3;1300;1300;55;0;1430;23.833;7.944
FlameSwordsman;Assassin;0.3;1500;1500;154;0;1725;28.75;9.583
Frostbound;Bruiser;0.3;2000;2000;110;0;2600;43.333;14.444
Hemomancer;Ranged;0.3;1300;1300;132;0;1430;23.833;7.944
IronSpearman;Bruiser;0.3;2000;2000;110;0;2600;43.333;14.444
LightShepherd;Healer;0.3;1000;1000;55;110;1100;18.333;6.111
Necromancer;Summoner;0.3;1300;1300;55;0;1430;23.833;7.944
Nightblade;Assassin;0.3;1500;1500;154;0;1725;28.75;9.583
Ranger;Ranged;0.3;1300;1300;132;0;1430;23.833;7.944
TrashArcher;Ranged;0.3;900;1300;132;0;1430;23.833;7.944
TrashBonecaller;Summoner;0.3;900;1300;55;0;1430;23.833;7.944
TrashBrawler;Bruiser;0.3;1400;2000;110;0;2600;43.333;14.444
TrashCutthroat;Assassin;0.3;1050;1500;154;0;1725;28.75;9.583
TrashHerbalist;Healer;0.3;700;1000;55;110;1100;18.333;6.111
TrashHexer;Support;0.3;900;1300;55;0;1430;23.833;7.944
TrashShieldbearer;Tank;0.3;2100;3000;55;0;4800;80;26.667
Treant;Tank;0.3;3000;3000;55;0;4800;80;26.667
WaterMonk;Bruiser;0.3;2000;2000;110;0;2600;43.333;14.444
WhirlMonk;Bruiser;0.3;2000;2000;110;0;2600;43.333;14.444
