Relic;DPS_solo;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%
Assassin;154.812;151.2;0.977;100;0;0;0;0;0;0
BaseRelic;100;100;1;100;0;0;0;0;0;0
Cryomancer;123.2;123.2;1;0;100;0;0;0;0;0
Defender;59.95;59.95;1;100;0;0;0;0;0;0
Druid;95.25;217.875;2.287;40.157;0;0;59.843;0;0;0
FlameSwordsman;214.883;224.918;1.047;39.606;36.834;9.847;13.714;0;4.781;8.664
IronSpearman;84;630;7.5;100;0;0;0;0;0;0
LightShepherd;50;50;1;100;0;0;0;0;0;0
Ranger;113.1;113.1;1;100;0;0;0;0;0;0
Treant;64;64;1;100;0;0;0;0;0;0
WhirlMonk;112;220;1.964;100;0;0;0;0;0;0
