Relic;DPS_solo;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%;aoe_AutoPhys%;aoe_AutoMagic%;aoe_Ability%;aoe_DoT%;aoe_React%
Assassin;163.165;165.6;1.015;100;0;0;0;0;0;0;100;0;0;0;0
BaseRelic;110;110;1;100;0;0;0;0;0;0;100;0;0;0;0
Cryomancer;153.851;123.2;0.801;0;100;0;0;0;0;0;0;100;0;0;0
Defender;70.85;70.85;1;84.615;0;15.385;0;0;0;0;84.615;0;15.385;0;0
Druid;60.15;83.25;1.384;33.666;0;0;66.334;0;0;0;24.324;0;0;75.676;0
FlameSwordsman;263.402;287.401;1.091;17.928;53.988;16.49;11.594;0;9.55;7.23;19.224;61.7;8.841;10.235;0
IronSpearman;84;630;7.5;100;0;0;0;0;0;0;66.667;0;33.333;0;0
LightShepherd;50;50;1;100;0;0;0;0;0;0;100;0;0;0;0
Ranger;136.5;136.5;1;100;0;0;0;0;0;0;100;0;0;0;0
Treant;64;64;1;100;0;0;0;0;0;0;100;0;0;0;0
WhirlMonk;132;156;1.182;90.909;0;9.091;0;0;0;0;76.923;0;23.077;0;0
