Relic;DPS_solo;DPS_summons;DPS_with_summons;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%;aoe_AutoPhys%;aoe_AutoMagic%;aoe_Ability%;aoe_DoT%;aoe_React%
Antimage;59.95;0;59.95;59.95;1;100;0;0;0;0;0;0;100;0;0;0;0
Arcanist;111;0;111;111;1;0;40.541;59.459;0;0;0;0;0;40.541;59.459;0;0
Assassin;144;0;144;144;1;100;0;0;0;0;0;0;100;0;0;0;0
BaseRelic;55;0;55;55;1;100;0;0;0;0;0;0;100;0;0;0;0
Cryomancer;127.6;0;127.6;127.6;1;0;100;0;0;0;3.448;0;0;100;0;0;0
Defender;70.85;0;70.85;70.85;1;100;0;0;0;0;0;0;100;0;0;0;0
Dreameater;13.867;0;13.867;13.867;1;0;0;0;100;0;0;0;0;0;0;100;0
Druid;60.15;0;60.15;83.25;1.384;33.666;0;0;66.334;0;0;0;24.324;0;0;75.676;0
Emberkeeper;74.304;0;74.304;74.304;1;0;100;0;0;0;0;0;0;100;0;0;0
FlameSwordsman;252.092;0;252.092;274.119;1.087;19.021;56.968;12.393;11.618;0;9.04;7.66;20.155;62.161;6.952;10.731;0
Frostbound;172.878;0;172.878;160.2;0.927;48.689;51.311;0;0;0;2.622;0;48.689;51.311;0;0;0
Hemomancer;104;0;104;104;1;100;0;0;0;0;0;0;100;0;0;0;0
IronSpearman;84;0;84;441;5.25;100;0;0;0;0;0;0;76.19;0;23.81;0;0
LightShepherd;50;0;50;50;1;100;0;0;0;0;0;0;100;0;0;0;0
Necromancer;28.5;22.5;51;28.5;1;100;0;0;0;0;0;0;100;0;0;0;0
Nightblade;236.939;0;236.939;214.2;0.904;60.465;0;9.302;30.233;0;0;0;63.866;0;10.084;26.05;0
Ranger;136.5;0;136.5;136.5;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashArcher;100;0;100;100;1;85;0;15;0;0;0;0;85;0;15;0;0
TrashBonecaller;10;0;10;10;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashBrawler;75;0;75;75;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashCutthroat;119.25;0;119.25;119.25;1;90.566;0;9.434;0;0;0;0;90.566;0;9.434;0;0
TrashHerbalist;20;0;20;20;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashHexer;38.5;0;38.5;38.5;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashShieldbearer;41.25;0;41.25;41.25;1;100;0;0;0;0;0;0;100;0;0;0;0
Treant;64;0;64;64;1;100;0;0;0;0;0;0;100;0;0;0;0
WaterMonk;120;0;120;120;1;75;25;0;0;0;0;0;75;25;0;0;0
WhirlMonk;140;0;140;164;1.171;91.429;0;8.571;0;0;0;0;78.049;0;21.951;0;0
