Relic;TTD_solo;EHP_solo;HpLeft_solo%;TTD_focus3;EHP_focus3;HpLeft_focus3%
Assassin;50.3;1500;0;12.3;1500;0
BaseRelic;19.2;1200;0;6.233;1200;0
Cryomancer;24.2;1301.887;0;7.267;1301.887;0
Defender;survived;3794.118;23.778;33.267;3465.882;0
Druid;28.367;1333.333;0;9.467;1500;0
FlameSwordsman;37.2;2018.119;0;14.233;2004.77;0
IronSpearman;48.2;2027.586;0;16.2;2027.586;0
LightShepherd;23.2;1333.333;0;7.3;1333.333;0
Ranger;24.333;1339.286;0;8.233;1339.286;0
Treant;survived;2777.486;3.709;37.267;3016.864;0
WhirlMonk;44;2016;0;14.267;2016;0
