Relic;Ability;Cooldown;Cost;DmgMult;Target;Radius;Heal;Effects;EffectDesc
Assassin;shadow_step;0;75;0;Self;0;0;Скрытность;
Cryomancer;ice_chains;0;40;0;AllEnemiesWithTag;0;0;Ледяные оковы;
Defender;resolute_strike;0;50;2;NearestEnemy;0;0;Решительный удар: оглушение · Решительный удар: ослабление;
Druid;spore_burst;0;45;0;AllEnemiesWithTag;1.5;0;;
FlameSwordsman;ignition;0;50;0;NearestEnemy;0;0;Воспламенение;
IronSpearman;steel_whirl;0;45;3;Self;2.5;0;;
LightShepherd;hand_of_life;0;30;0;LowestHpAlly;0;100;;
Ranger;hunters_mark;0;30;0;NearestEnemy;0;0;Метка охотника;
Treant;overgrowth;0;40;0;Self;0;0;Разрастание;
WhirlMonk;whirl_push;0;60;0;NearestEnemy;0;0;Захват вихря;
BoneDevDuelist;resolute_strike;0;50;2;NearestEnemy;0;0;Решительный удар: оглушение · Решительный удар: ослабление;
