Left \ Right;Assassin;BaseRelic;Cryomancer;Defender;Druid;FlameSwordsman;IronSpearman;LightShepherd;Ranger;Treant;WhirlMonk
Assassin;-;W 63%;D 4%;W 33%;W 58%;L;W 46%;W 93%;D 19%;L;W 64%
BaseRelic;L;-;L;L;W 44%;L;L;L;L;L;L
Cryomancer;D 6%;W 20%;-;W 29%;W 34%;L;W 19%;W 23%;W 26%;W 6%;L
Defender;L;W 59%;L;-;W 72%;L;W 52%;L;W 37%;W 1%;W 46%
Druid;L;L;L;L;-;L;W 10%;D 8%;L;L;L
FlameSwordsman;W 0%;W 39%;W 16%;W 32%;W 57%;-;W 17%;W 35%;D 3%;W 26%;W 15%
IronSpearman;L;W 24%;L;L;L;L;-;L;L;L;L
LightShepherd;L;W 35%;L;W 35%;D 58%;L;W 34%;-;D 16%;W 32%;L
Ranger;D 1%;W 55%;L;L;W 38%;D 39%;W 23%;D 23%;-;L;L
Treant;W 18%;W 47%;L;L;W 47%;L;W 30%;L;W 36%;-;W 21%
WhirlMonk;L;W 34%;W 35%;L;W 64%;L;W 5%;W 60%;W 42%;L;-
