Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Geomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Antimage;-;L;L;W 75%;W 44%;L;L;W 53%;W 62%;L;L;W 96%;L;W 47%;L;L;L;W 57%;W 92%;W 50%;W 45%;W 71%;W 82%;W 11%;L;L;L
Arcanist;W 40%;-;W 28%;W 92%;W 23%;W 13%;W 40%;W 63%;W 59%;W 53%;L;W 88%;W 49%;W 69%;W 16%;L;W 37%;W 64%;W 91%;W 71%;W 79%;W 91%;W 84%;W 67%;W 38%;L;W 42%
Assassin;W 64%;L;-;W 88%;W 69%;D 21%;W 30%;W 59%;W 82%;D 4%;D 2%;W 100%;W 38%;W 87%;D 25%;L;W 48%;W 83%;W 98%;W 78%;W 65%;W 98%;W 94%;W 75%;D 18%;D 23%;D 24%
BaseRelic;L;L;L;-;L;L;L;L;L;L;L;W 72%;L;L;L;L;L;L;L;L;L;L;W 33%;L;L;L;L
Cryomancer;L;L;L;W 64%;-;L;L;W 31%;W 27%;L;L;W 88%;W 9%;W 54%;L;L;L;W 49%;W 88%;W 20%;W 28%;W 85%;W 76%;W 24%;L;L;L
Defender;W 81%;L;D 40%;W 90%;W 65%;-;L;W 84%;W 85%;L;L;W 99%;W 60%;W 85%;W 21%;L;W 58%;W 85%;W 99%;W 86%;W 74%;W 96%;W 97%;W 85%;W 40%;L;W 49%
Dreameater;W 29%;L;L;W 64%;W 13%;W 5%;-;W 44%;W 35%;L;L;W 88%;W 19%;W 62%;L;L;W 11%;W 49%;W 85%;W 49%;W 12%;W 85%;W 76%;W 51%;W 8%;L;L
Druid;L;L;L;W 37%;L;L;L;-;L;L;L;W 77%;L;D 23%;L;L;L;L;W 80%;L;L;W 43%;D 69%;L;L;L;L
Emberkeeper;L;L;L;W 52%;L;L;L;W 44%;-;L;L;W 88%;L;D 100%;L;L;L;W 12%;W 89%;W 3%;L;W 63%;W 71%;L;L;L;L
FlameSwordsman;W 30%;L;D 20%;W 64%;W 22%;W 23%;W 23%;W 52%;W 47%;-;L;W 91%;W 16%;W 57%;L;L;W 34%;W 54%;W 81%;W 52%;W 30%;W 81%;W 75%;W 50%;W 24%;L;D 7%
