Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Antimage;-;W 6%;L;W 75%;W 48%;L;W 31%;L;W 68%;L;L;W 49%;L;W 47%;W 10%;L;L;W 57%;W 96%;W 50%;W 45%;W 75%;W 84%;W 9%;L;L;L
Arcanist;L;-;L;W 68%;L;W 1%;W 47%;W 34%;W 20%;L;L;L;W 29%;W 46%;W 60%;L;L;W 35%;W 91%;W 35%;W 17%;W 83%;W 72%;W 46%;W 5%;L;L
Assassin;W 70%;W 37%;-;W 88%;W 69%;W 3%;W 100%;W 65%;W 82%;L;L;W 100%;W 46%;W 93%;W 90%;L;W 57%;W 83%;W 100%;W 78%;W 65%;W 98%;W 94%;W 75%;L;L;W 16%
BaseRelic;L;L;L;-;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 83%;L;L;L;W 38%;L;L;L;L
Cryomancer;L;W 2%;L;W 64%;-;L;W 47%;W 34%;W 34%;L;L;W 30%;W 9%;W 54%;W 49%;L;L;W 49%;W 94%;W 20%;W 28%;W 85%;W 76%;W 29%;L;L;L
Defender;W 67%;L;L;W 88%;W 53%;-;W 42%;W 49%;W 74%;L;L;W 70%;W 42%;W 76%;W 71%;L;W 53%;W 78%;W 100%;W 80%;W 69%;W 96%;W 95%;W 73%;W 10%;L;W 30%
Dreameater;L;L;L;W 36%;L;L;-;W 19%;L;L;L;L;L;W 38%;L;L;L;L;W 88%;L;L;W 77%;W 56%;W 18%;L;L;L
Druid;W 53%;L;L;W 74%;L;L;L;-;L;L;L;L;L;L;W 41%;L;L;W 0%;W 89%;W 44%;L;W 46%;W 61%;W 84%;L;L;L
Emberkeeper;L;L;L;W 52%;L;L;W 48%;W 49%;-;L;L;L;L;W 27%;W 12%;L;L;W 5%;W 98%;L;L;W 81%;W 71%;L;L;L;L
FlameSwordsman;W 30%;W 9%;W 6%;W 64%;W 22%;W 23%;W 89%;W 46%;W 47%;-;L;W 50%;W 16%;W 49%;W 47%;L;W 26%;W 54%;W 84%;W 52%;W 29%;W 80%;W 75%;W 50%;W 24%;L;L
Frostbound;W 58%;W 59%;W 15%;W 85%;W 57%;W 37%;W 100%;W 70%;W 67%;W 23%;-;W 82%;W 35%;W 75%;W 73%;L;W 34%;W 77%;W 97%;W 69%;W 72%;W 95%;W 89%;W 71%;W 44%;W 13%;W 11%
Hemomancer;L;W 10%;L;W 25%;L;L;W 56%;W 15%;W 24%;L;L;-;L;W 25%;W 33%;L;L;W 15%;W 45%;L;L;W 37%;W 35%;W 17%;L;L;L
IronSpearman;W 14%;L;L;W 73%;L;L;W 65%;W 57%;W 45%;L;L;W 67%;-;W 50%;W 72%;L;L;W 69%;W 96%;W 48%;W 43%;W 89%;W 87%;W 22%;L;L;L
LightShepherd;L;L;L;W 46%;L;L;L;W 28%;L;L;L;L;L;-;L;L;L;L;W 100%;L;L;W 99%;W 71%;W 9%;L;L;L
Necromancer;L;L;L;W 46%;L;L;W 50%;L;L;L;L;L;L;W 22%;-;L;L;L;W 97%;L;L;W 97%;W 83%;L;L;L;L
Nightblade;W 40%;W 61%;W 17%;W 81%;W 49%;W 30%;W 100%;W 73%;W 65%;W 39%;W 17%;W 72%;W 43%;W 73%;W 71%;-;W 39%;W 65%;W 95%;W 65%;W 58%;W 93%;W 87%;W 74%;W 24%;W 22%;W 26%
Ranger;W 21%;W 27%;L;W 68%;W 12%;L;W 100%;W 50%;W 36%;L;L;W 30%;W 9%;W 62%;W 54%;L;-;W 49%;W 94%;W 42%;W 41%;W 88%;W 80%;W 29%;L;L;L
TrashArcher;L;L;L;W 37%;L;L;W 23%;L;L;L;L;L;L;W 33%;W 16%;L;L;-;W 88%;L;L;W 75%;W 54%;L;L;L;L
TrashBonecaller;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L
TrashBrawler;L;L;L;W 51%;L;L;W 1%;L;W 5%;L;L;W 1%;L;W 21%;W 3%;L;L;W 11%;W 91%;-;L;W 72%;W 71%;L;L;L;L
TrashCutthroat;L;L;L;W 53%;L;L;W 34%;W 8%;W 25%;L;L;W 18%;L;W 52%;W 33%;L;L;W 31%;W 90%;W 14%;-;W 83%;W 67%;L;L;L;L
TrashHerbalist;L;L;L;W 49%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 16%;L;L;-;W 85%;L;L;L;L
TrashHexer;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 26%;L;L;L;-;L;L;L;L
TrashShieldbearer;L;L;L;W 67%;L;L;L;L;W 30%;L;L;L;L;L;W 34%;L;L;W 43%;W 87%;W 36%;W 19%;W 50%;W 78%;-;L;L;L
Treant;W 27%;L;W 12%;W 74%;W 30%;L;W 17%;W 27%;W 45%;L;L;W 62%;W 25%;W 45%;W 31%;L;W 36%;W 65%;W 81%;W 54%;W 60%;W 57%;W 76%;W 31%;-;L;W 20%
WaterMonk;W 47%;W 54%;W 8%;W 81%;W 46%;W 21%;W 61%;W 71%;W 63%;W 19%;L;W 69%;W 46%;W 72%;W 77%;L;W 34%;W 70%;W 97%;W 62%;W 65%;W 93%;W 86%;W 68%;W 32%;-;W 14%
WhirlMonk;W 35%;W 58%;L;W 78%;W 49%;L;W 65%;W 66%;W 63%;W 16%;L;W 71%;W 10%;W 70%;W 73%;L;W 31%;W 68%;W 95%;W 64%;W 57%;W 94%;W 87%;W 52%;L;L;-
