Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;FlameSwordsman;20;0;0;1;42.504;100;1962.055;1149.929;0;103.91;0;336.732;0;0;0;3.22;36.3;58;11.6;0;0;0;0
2;Assassin;12;4;4;0.7;63.898;80;1908.925;897.781;0;3.006;0;137.829;8.4;0;0;8.86;0;0;0;0;0;0;0
3;Cryomancer;12;6;2;0.65;24.226;70;2083.902;1128.73;0;2.273;0;65.552;0;70.4;18.7;0.47;18.7;70.4;0;0;0;0;0
4;Defender;12;8;0;0.6;45.644;60;2299.684;3958.403;0;1.745;0;2344.592;0;3.3;6.6;22.84;13.2;23.1;0;0;0;0;0
5;Treant;12;8;0;0.6;35.777;60;2141.243;2026.609;32.51;1.745;0;1748.071;0;0;0;11.57;0;0;0;0;0;0;0
6;WhirlMonk;12;8;0;0.6;44.236;60;1612.811;1488.101;0;1.745;0;359.669;0;1.76;8.8;4.55;0;0;0;0;0;0;0
7;LightShepherd;8;8;4;0.5;37.504;60;1883;2937.703;0;1.048;1817.167;238.216;0;0;0;7.22;0;0;0;1817.167;0;0;0
8;Druid;6;12;2;0.35;12.352;40;1197.481;1244.634;0;0.471;0;93.366;0;0;0;3.58;13.7;54.8;13.7;0;0;0;0
9;Ranger;4;12;4;0.3;51.236;40;1565.834;1166.071;0;0.349;0;119.119;0;0;0;3.77;10.2;51;0;0;0;0;0
10;IronSpearman;4;16;0;0.2;39.31;20;1560.731;1892.812;0;0.173;0;616.613;0;0;0;6.4;0;0;0;0;0;0;0
11;BaseRelic;0;20;0;0;0;0;781.901;1250.47;0;0.009;0;0;0;0;0;2.98;0;0;0;0;0;0;0
