Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;FlameSwordsman;18;0;2;0.95;26.387;100;14.659;10;2036.701;1139.096;0;24.03;0;325.426;0;0;0;3.57;44.3;78;15.6;0;0;0;0
2;Cryomancer;14;4;2;0.75;22.579;80;25.585;10;2202.283;1125.817;0;4.612;0;67.99;0;73.2;19.4;0.47;19.4;73.2;0;0;0;0;0
3;Assassin;12;4;4;0.7;59.62;80;24.558;20;2031.211;933.002;0;3.434;0;144.305;8.8;0;0;8.86;0;0;0;0;0;0;0
4;Defender;12;8;0;0.6;44.258;60;71.707;0;2357.241;3990.862;0;1.982;0;2344.948;0;3.35;6.7;22.84;13.4;23.45;0;0;0;0;0
5;Treant;12;8;0;0.6;33.216;60;43.203;0;2195.123;2066.903;32.127;1.982;0;1759.374;0;0;0;11.57;0;0;0;0;0;0;0
6;WhirlMonk;12;8;0;0.6;39.936;60;28.2;0;1737.255;1561.538;0;1.982;0;383.852;0;1.84;9.2;4.55;0;0;0;0;0;0;0
7;LightShepherd;8;8;4;0.5;33.835;60;48.429;20;2003;2996.916;0;1.154;1934.944;244.313;0;0;0;7.22;0;0;0;1934.944;0;0;0
8;Ranger;6;8;6;0.45;38.576;60;23.633;30;1671.645;1092.058;0;0.87;0;111.45;0;0;0;3.77;14.1;70.5;0;0;0;0;0
9;Druid;2;16;2;0.15;10.256;20;23.17;10;1016.011;1413.082;0;0.096;90;105.475;0;0;0;3.87;10;40;10;90;0;0;0
10;BaseRelic;2;18;0;0.1;44.2;10;20.88;0;1285.216;1965.465;0;0.059;0;0;0;0;0;5.27;0;0;0;0;0;0;0
11;IronSpearman;2;18;0;0.1;24.138;10;30.15;0;1618.805;2001.143;0;0.059;0;656.532;0;0;0;6.4;0;0;0;0;0;0;0
