Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;FlameSwordsman;18;2;0;0.9;28.904;90;14.167;0;0;1952.099;1110.558;0;19.501;0;326.783;0;0;0;3.57;41.6;74;14.8;0;0;0;0
2;Cryomancer;14;4;2;0.75;24.062;80;24.752;10;10;2128.725;1112.326;0;6.714;0;69.462;0;71;18.8;0.47;18.8;71;0;0;0;0;0
3;Treant;14;6;0;0.7;32.736;70;38.083;0;10;1990.193;1923.368;32.267;4.96;0;1782.746;0;0;0;11.47;0;0;0;0;0;0;0
4;Assassin;12;4;4;0.7;58.509;80;24.808;20;20;2024.904;941.752;0;4.96;0;143.972;8.6;0;0;8.86;0;0;0;0;0;0;0
5;Defender;14;6;0;0.7;47.879;70;54.573;0;10;1637.895;3356.978;0;4.96;0;2299.933;0;2.4;4.8;22.84;9.6;16.8;0;0;0;0;0
6;WhirlMonk;12;8;0;0.6;39.609;60;27.61;0;0;1671.268;1565.458;0;2.726;0;383.732;0;1.8;9;4.55;0;0;0;0;0;0;0
7;Ranger;10;8;2;0.55;48.47;60;19.907;10;10;1731.428;1007.348;0;1.992;0;53.306;0;0;0;3.72;6.4;32;0;0;0;0;0
8;BaseRelic;4;16;0;0.2;42.1;20;19.117;0;0;1176.323;1880.265;0;0.098;0;0;0;0;0;5.27;0;0;0;0;0;0;0
9;IronSpearman;4;16;0;0.2;22.069;20;29.007;0;0;1520.517;1957.488;0;0.098;0;656.987;0;0;0;6.4;0;0;0;0;0;0;0
10;Druid;2;16;2;0.15;10.256;20;22.144;10;10;975.713;1352.156;0;0.06;54;103.238;0;0;0;3.78;9.6;38.4;9.6;54;0;0;0
11;LightShepherd;0;18;2;0.05;0;10;20.637;10;10;941;1668.577;0;0.02;330.375;137.55;0;0;0;4.27;0;0;0;330.375;0;0;0
