Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;WaterMonk;48;2;2;94.231;71.14;96.154;19.845;3.846;7.692;1680.099;1157.015;0;327.95;0;297.753;0;0.615;3.731;0.415;18.692;47.236;0;0;0;0;0
2;Frostbound;48;2;2;94.231;74.95;96.154;8.05;3.846;3.846;1778.371;585.83;0;327.95;0;149.11;0;1;0.846;0.154;11.077;1;0;0;0;0;0
3;Nightblade;48;4;0;92.308;56.416;92.308;9.374;0;0;1605.922;732.898;0;230.243;0;95.518;0;0;0;0.038;9.923;55.05;9.923;0;0;0;0
4;Arcanist;46;6;0;88.462;58.948;88.462;10.026;0;0;1695.355;714.972;0;123.488;0;46.961;0.615;0;0;0.077;13.692;81.447;0;0;0;0;0
5;Assassin;36;4;12;80.769;74.355;92.308;14.117;23.077;23.077;1501.994;689.288;0;42.599;0;91.49;5.654;0;0;0.415;0;0;0;0;0;0;0
6;FlameSwordsman;40;8;4;80.769;47.076;84.615;11.434;7.692;7.692;1541.745;960.256;0;42.599;0;240.861;0;0;0;0.223;39.231;71.063;14.423;0;0;0;0
7;Dreameater;38;14;0;73.077;44.078;73.077;13.724;0;0;1449.846;907.027;0;17.043;0;60.211;0;3.445;0.885;0.108;1.769;6.89;0.885;0;0;0;0
8;Defender;36;14;2;71.154;78.778;73.077;34.423;3.846;11.538;1870.367;2107.386;0;13.759;0;1209.378;0;2.928;2.962;1.162;5.923;11.712;0;0;0;0;0
9;WhirlMonk;34;14;4;69.231;64.028;73.077;16.449;7.692;7.692;1459.256;1155.472;0;11.151;0;256.053;0;0.692;2.654;0.346;0.808;0.323;0;0;0;0;0
10;Treant;34;16;2;67.308;49.486;69.231;30.429;3.846;11.538;1804.695;1645.953;26.974;9.064;0;1249.411;0;0;0;1.208;0;0;0;0;0;0;0
11;Ranger;32;20;0;61.538;53.273;61.538;13.619;0;0;1347.554;900.819;0;4.913;0;40.693;0;0;0;0.262;1.808;9.012;0;0;0;0;0
12;IronSpearman;30;22;0;57.692;56.872;57.692;20.431;0;0;1373.276;1411.595;0;3.263;0;425.646;0;0;0.346;0.562;0.346;0.346;0;0;0;0;0
13;Cryomancer;28;24;0;53.846;47.893;53.846;13.628;0;0;1279.937;994.289;0;2.147;0;58.416;0;0.692;0.5;0.231;12.423;0.692;0;0;0;0;0
14;Necromancer;28;24;0;53.846;61;53.846;33.364;0;7.692;686.685;936.348;0;2.147;0;41.136;0;0;0;0.377;0;0;0;0;0.058;0.692;0
15;Antimage;26;26;0;50;59.647;50;32.888;0;3.846;1437.036;2139.777;0;1.388;0;811.793;0.423;0;0;0.946;4.942;0;0;0;0;0;0
16;TrashCutthroat;24;28;0;46.154;43.885;46.154;19.498;0;3.846;1264.724;882.881;0;0.871;0;78.577;0;0;0;0.192;0;0;0;0;0;0;0
17;TrashShieldbearer;20;30;2;40.385;46.403;42.308;40.741;3.846;11.538;1550.933;2695.884;0;0.402;0;937.062;0;0;0;0.908;0;0;0;0;0;0;0
18;Emberkeeper;16;34;2;32.692;53.726;34.615;17.665;3.846;3.846;1037.988;1223.149;0;0.126;155.327;73.941;0;0;0;0.119;0;0;0;155.327;0;0;0.385
19;TrashArcher;14;38;0;26.923;53.093;26.923;11.981;0;0;898.768;820.111;0;0.053;0;47.355;0;0;0;0.038;0;0;0;0;0;0;0
20;TrashBrawler;14;38;0;26.923;46.424;26.923;19.51;0;0;1065.628;1277.207;0;0.053;0;218.582;0;0;0;0.262;0;0;0;0;0;0;0
21;LightShepherd;8;38;6;21.154;64.475;26.923;21.262;11.538;15.385;1023.846;1270.03;0;0.023;386.763;96.221;0;0;0;0.246;0;0;0;386.763;0;0;0.288
22;TrashBonecaller;9;40;3;20.192;20.803;23.077;30.033;5.769;15.385;160.76;911.582;0;0.02;0;53.483;0;0;0;0.038;0;0;0;0;0;0;0
23;Druid;6;42;4;15.385;52.517;19.231;26.974;7.692;11.538;1108.932;1275.945;0;0.01;41.538;92.511;0;0;0;0.262;9;35.309;9;41.538;0;0;0
24;TrashHerbalist;4;46;2;9.615;28.131;11.538;33.823;3.846;15.385;572.652;2033.807;0;0.004;1320.262;119.595;0;0;0;0.285;0;0;0;1320.262;0;0;0
25;TrashHexer;2;44;6;9.615;66.771;15.385;14.24;11.538;11.538;444.224;915.731;0;0.004;0;69.695;0;0;0;0.038;2.769;16.413;0;0;0;0;0
26;BaseRelic;4;48;0;7.692;52.609;7.692;15.997;0;0;680.981;1020.507;0;0.003;0;129.529;0;0;0;0.038;0;0;0;0;0;0;0
27;Hemomancer;2;49;1;4.808;6.643;5.769;3.117;1.923;3.846;444.25;145.208;0;0.002;95.033;9.513;0;0;0;0;0;0;0;95.033;0;0;0
