Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Nightblade;52;0;0;100;56.915;100;9.299;0;0;1619.63;646.275;0;20285.19;0;89.448;0;0;0;0.038;10.192;56.603;10.192;0;0;0;0;0;0
2;Frostbound;50;2;0;96.154;60.418;96.154;12.735;0;0;1730.229;843.142;0;2919.001;0;214.432;0;1.308;1.154;0.108;11.808;1.308;0;0;0;0;0;0;0
3;WaterMonk;48;4;0;92.308;56.437;92.308;16.555;0;0;1711.217;1024.823;0;671.229;0;262.201;0;1;4.846;0.415;19.462;43.418;0;0;156.924;9.479;0;0;0
4;FlameSwordsman;44;8;0;84.615;44.154;84.615;12.105;0;0;1605.244;953.354;0;94.911;0;250.703;0;0;0;0.223;41.846;77.027;15.615;0;0;0;0;0;0
5;Assassin;42;10;0;80.769;71.79;80.769;16.374;0;0;1626.516;652.639;0;49.448;0;93.997;5.808;0;0;0.338;0;0;0;0;0;0;0;0;0
6;Defender;40;12;0;76.923;65.733;76.923;31.513;0;3.846;1656.761;1752.658;0;28.095;0;1072.051;0;2.659;2.692;1.023;5.385;10.635;0;0;557.124;17.679;0;0;0
7;WhirlMonk;40;12;0;76.923;60.106;76.923;15.719;0;0;1611.183;1098.013;0;28.095;0;255.731;0;0.585;2.231;0.346;0.692;0.277;0;0;0;0;0;0;0
8;Treant;40;12;0;76.923;43.978;76.923;29.897;0;3.846;1721.523;1598.66;24.195;28.095;0;1180.853;0;0;0;1.562;0;0;0;0;0;0;0;0;0
9;Ranger;36;16;0;69.231;49.711;69.231;13.329;0;0;1390.208;873.123;0;10.107;0;42.623;0;0;0;0.246;1.731;8.627;0;0;0;0;0;0;0
10;Arcanist;32;20;0;61.538;42.747;61.538;15.127;0;0;1490.697;1074.575;0;3.893;0;70.772;0.731;0;0;0.3;24.077;140.918;0;0;91.165;6.027;0;0;0
11;Cryomancer;32;20;0;61.538;44.053;61.538;13.694;0;0;1277.353;971.799;0;3.893;0;57.725;0;0.692;0.5;0.231;12.846;0.692;0;0;0;0;0;0;0
12;Antimage;30;22;0;57.692;51.167;57.692;34.241;0;3.846;1517.334;2138.829;0;2.459;0;804.767;0.538;0;0;1.215;5.038;0;0;0;0;0;0;0;0
13;IronSpearman;30;22;0;57.692;59.78;57.692;20.913;0;0;1424.111;1365.622;0;2.459;0;429.42;0;0;0.346;0.569;0.346;0.346;0;0;28.092;1.343;0;0;0
14;TrashCutthroat;24;28;0;46.154;42.304;46.154;12.023;0;0;1112.549;890.186;0;0.654;0;79.641;0;0;0;0.192;0;0;0;0;0;0;0;0;0
15;Hemomancer;24;28;0;46.154;28.216;46.154;7.655;0;0;1054.175;493.933;0;0.654;316.252;33.136;0;0;0;0.038;0;0;0;316.252;0;41.312;0;0;0
16;TrashBrawler;20;32;0;38.462;33.074;38.462;18.356;0;0;1078.895;1274.192;0;0.282;0;216.605;0;0;0;0.415;0;0;0;0;0;0;0;0;0
17;Emberkeeper;18;34;0;34.615;49.261;34.615;17.146;0;0;1050.774;1246.69;0;0.187;116.538;77.804;0;0;0;0.237;0;0;0;116.538;0;6.797;0;0;0.423
18;Druid;18;34;0;34.615;54.596;34.615;26.723;0;3.846;1212.871;1580.863;0;0.187;481.902;113.19;0;0;0;0.569;11.308;44.64;11.308;481.902;0;18.033;0;0;0
19;TrashShieldbearer;18;34;0;34.615;49.437;34.615;44.655;0;11.538;1412.817;2709.797;0;0.187;0;931.512;0;0;0;1.485;0;0;0;0;916.193;20.517;0;0;0
20;Dreameater;14;38;0;26.923;47.636;26.923;20.55;0;0;937.5;1182.671;0;0.078;0;75.407;0;6.024;1.538;0.108;3.077;12.049;1.538;0;0;0;0;0;0
21;TrashArcher;14;38;0;26.923;46.985;26.923;11.957;0;0;933.754;839;0;0.078;0;48.787;0;0;0;0.192;0;0;0;0;0;0;0;0;0
22;Necromancer;12;40;0;23.077;67.399;23.077;26.647;0;0;704.608;1189.862;0;0.048;0;53.008;0;0;0;0.262;0;0;0;0;38.462;1.443;0.058;0.692;0
23;LightShepherd;12;40;0;23.077;58.857;23.077;22.308;0;3.846;1101.808;1371.981;0;0.048;463.384;101.375;0;0;0;0.385;0;0;0;463.384;0;20.772;0;0;0.231
24;TrashHerbalist;6;46;0;11.538;49.932;11.538;31.897;0;11.538;575.005;1895.149;0;0.004;1189.714;107.837;0;0;0;0.385;0;0;0;1189.714;0;37.298;0;0;0
25;BaseRelic;4;48;0;7.692;60.217;7.692;15.695;0;0;685.184;1020.821;0;0.001;0;124.959;0;0;0;0.346;0;0;0;0;0;0;0;0;0
26;TrashHexer;2;50;0;3.846;25.935;3.846;15.139;0;0;473.557;955.064;0;0;0;71.977;0;0;0;0.346;0.731;4.179;0;0;0;0;0;0;0
27;TrashBonecaller;0;52;0;0;0;0;18.566;0;3.846;187.437;960.469;0;0;0;55.818;0;0;0;0.346;0;0;0;0;0;0;0;0;0
