Rank;Relic;Class;Cleared;Fights;ClearRate;HpCostOnClear%;AvgFightSec;Timeout%;Overtime%;HeroDeaths%;FallenOnClear;AvgDmgDealt;HealDone;ControlSec;SummonDmg;DmgWithSummons;SummonTanked;SummonsAlive;FirstSummonSec
1;Necromancer;Summoner;5;5;1;10.989;9.193;0;0;0;0;524.4;0;0;457.276;981.676;206.364;1.992;0.033
2;WaterMonk;Bruiser;5;5;1;11.093;9.453;0;0;0;0;1308.693;0;0;0;1308.693;0;0;-1
3;Assassin;Assassin;5;5;1;11.214;10.253;0;0;0;0;1105.382;0;0;0;1105.382;0;0;-1
4;IronSpearman;Bruiser;5;5;1;11.86;8.66;0;0;0;0;1464.919;0;0;0;1464.919;0;0;-1
5;Defender;Tank;5;5;1;12.121;10.213;0;0;0;0;603.739;0;0.4;0;603.739;0;0;-1
6;Frostbound;Bruiser;5;5;1;12.443;8.353;0;0;0;0;1504.865;0;0;0;1504.865;0;0;-1
7;LightShepherd;Healer;5;5;1;14.317;13.633;0;0;20;0.2;640;545.006;0;0;640;0;0;-1
8;Nightblade;Assassin;5;5;1;14.468;9.547;0;0;0;0;1250.734;0;0;0;1250.734;0;0;-1
9;Druid;Support;5;5;1;14.761;10.58;0;0;0;0;523.321;0;0;0;523.321;0;0;-1
10;Emberkeeper;Support;5;5;1;14.941;10.433;0;0;0;0;461.781;57.8;0;0;461.781;0;0;-1
11;WhirlMonk;Bruiser;5;5;1;15.157;10.427;0;0;0;0;1085.712;0;0.16;0;1085.712;0;0;-1
12;(контроль: отряд без кита);—;5;5;1;15.217;10.327;0;0;0;0;0;0;0;0;0;0;0;-1
13;Antimage;Tank;5;5;1;15.877;10.373;0;0;0;0;521.802;0;0;0;521.802;0;0;-1
14;Arcanist;Ranged;5;5;1;16.085;11.1;0;0;0;0;1315.961;0;0;0;1315.961;0;0;-1
15;Ranger;Ranged;5;5;1;16.346;10.687;0;0;0;0;1183.657;0;0;0;1183.657;0;0;-1
16;TrashShieldbearer;Tank;5;5;1;16.604;11.293;0;0;0;0;415.856;0;0;0;415.856;0;0;-1
17;TrashHexer;Support;5;5;1;16.858;11.02;0;0;0;0;339.439;0;0;0;339.439;0;0;-1
18;Treant;Tank;5;5;1;16.9;9.853;0;0;0;0;648.629;0;0;0;648.629;0;0;-1
19;Dreameater;Ranged;5;5;1;17.714;11.607;0;0;0;0;1023.6;0;1.6;0;1023.6;0;0;-1
20;TrashBonecaller;Summoner;5;5;1;18.151;11.433;0;0;0;0;170.144;0;0;0;170.144;0;0;-1
21;Cryomancer;Ranged;5;5;1;18.526;12.193;0;0;0;0;990.223;0;0;0;990.223;0;0;-1
22;TrashBrawler;Bruiser;5;5;1;19.155;12.373;0;0;20;0.2;669.932;0;0;0;669.932;0;0;-1
23;FlameSwordsman;Assassin;5;5;1;19.537;12.187;0;0;20;0.2;652.881;0;0;0;652.881;0;0;-1
24;TrashHerbalist;Healer;5;5;1;20.007;15.58;0;0;20;0.2;247.487;432;0;0;247.487;0;0;-1
25;TrashArcher;Ranged;5;5;1;20.056;12.273;0;0;20;0.2;948.752;0;0;0;948.752;0;0;-1
26;TrashCutthroat;Assassin;5;5;1;21.612;12.373;0;0;20;0.2;699.159;0;0;0;699.159;0;0;-1
27;BaseRelic;Bruiser;5;5;1;22.436;13.613;0;0;40;0.4;395.895;0;0;0;395.895;0;0;-1
28;Geomancer;Ranged;5;5;1;38.35;11.48;0;0;0;0.4;1170.687;64.578;0;0;1170.687;0;0;-1
