Rank;Relic;Class;Cleared;Fights;ClearRate%;HpCostOnClear%;AvgFightSec;Timeout%;Overtime%;HeroDeaths%;FallenOnClear;AvgDmgDealt;HealDone;ControlSec;SummonDmg;DmgWithSummons;SummonTanked;SummonsAlive;FirstSummonSec
1;WaterMonk;Bruiser;5;5;100;11.093;9.453;0;0;0;0;1308.693;0;0;0;1308.693;0;0;-1
2;Assassin;Assassin;5;5;100;11.336;9.953;0;0;0;0;1161.288;0;0;0;1161.288;0;0;-1
3;IronSpearman;Bruiser;5;5;100;11.86;8.66;0;0;0;0;1464.919;0;0;0;1464.919;0;0;-1
4;Defender;Tank;5;5;100;12.146;10.36;0;0;0;0;625.323;0;0.4;0;625.323;0;0;-1
5;Necromancer;Summoner;5;5;100;12.744;10.813;0;0;0;0.2;296.4;0;0;201.607;498.007;218.182;0.898;0.033
6;Nightblade;Assassin;5;5;100;14.468;9.547;0;0;0;0;1250.734;0;0;0;1250.734;0;0;-1
7;Frostbound;Bruiser;5;5;100;14.641;9.987;0;0;0;0;1275.168;0;0;0;1275.168;0;0;-1
8;Druid;Support;5;5;100;14.761;10.58;0;0;0;0;541.056;0;0;0;541.056;0;0;-1
9;LightShepherd;Healer;5;5;100;14.933;13.633;0;0;20;0.2;640;507.506;0;0;640;0;0;-1
10;Emberkeeper;Support;5;5;100;15.134;10.433;0;0;0;0;460.843;52.4;0;0;460.843;0;0;-1
11;WhirlMonk;Bruiser;5;5;100;15.256;10.353;0;0;0;0;1241.329;0;0.16;0;1241.329;0;0;-1
12;(контроль: отряд без кита);—;5;5;100;15.338;10.327;0;0;0;0;0;0;0;0;0;0;0;-1
13;Arcanist;Ranged;5;5;100;16.085;11.1;0;0;0;0;1315.961;0;0;0;1315.961;0;0;-1
14;Antimage;Tank;5;5;100;16.233;10.373;0;0;0;0;521.802;0;0;0;521.802;0;0;-1
15;TrashShieldbearer;Tank;5;5;100;16.326;11.093;0;0;0;0;415.856;0;0;0;415.856;0;0;-1
16;Ranger;Ranged;5;5;100;16.371;10.573;0;0;0;0;1156.206;0;0;0;1156.206;0;0;-1
17;TrashHexer;Support;5;5;100;16.858;11.02;0;0;0;0;339.439;0;0;0;339.439;0;0;-1
18;Treant;Tank;5;5;100;17.53;9.987;0;0;0;0;672.723;0;0;0;672.723;0;0;-1
19;Dreameater;Ranged;5;5;100;17.714;11.607;0;0;0;0;1023.6;0;1.6;0;1023.6;0;0;-1
20;Cryomancer;Ranged;5;5;100;18.279;12.133;0;0;0;0;990.223;0;0;0;990.223;0;0;-1
21;TrashBrawler;Bruiser;5;5;100;19.155;12.38;0;0;20;0.2;689.54;0;0;0;689.54;0;0;-1
22;TrashBonecaller;Summoner;5;5;100;19.158;12.273;0;0;20;0.2;92.565;0;0;0;92.565;0;0;-1
23;FlameSwordsman;Assassin;5;5;100;19.57;12.187;0;0;20;0.2;660.763;0;0;0;660.763;0;0;-1
24;TrashHerbalist;Healer;5;5;100;20.007;15.58;0;0;20;0.2;255.408;432;0;0;255.408;0;0;-1
25;TrashArcher;Ranged;5;5;100;20.056;12.26;0;0;20;0.2;948.752;0;0;0;948.752;0;0;-1
26;BaseRelic;Bruiser;5;5;100;22.436;13.607;0;0;40;0.4;406.679;0;0;0;406.679;0;0;-1
27;TrashCutthroat;Assassin;5;5;100;22.473;12.34;0;0;20;0.2;699.159;0;0;0;699.159;0;0;-1
28;Hemomancer;Ranged;5;5;100;34.568;11.48;0;0;0;0.4;1170.687;54.343;0;0;1170.687;0;0;-1
