PairA;PairB;Synergy_2v2;Synergy_4v4;Synergy_6v6;SynergyAvg
FlameSwordsman;LightShepherd;36.338;7.176;5.027;16.18
BaseRelic;WhirlMonk;-2.376;19.11;9.161;8.632
BaseRelic;FlameSwordsman;9.994;12.663;0;7.552
Assassin;Cryomancer;-0.368;-12.148;24.777;4.087
Ranger;WhirlMonk;-4.312;1.391;7.83;1.636
IronSpearman;LightShepherd;25.706;-11.929;-9.893;1.295
IronSpearman;Ranger;0.087;3.534;-0.192;1.143
Assassin;Ranger;-2.814;-0.188;4.038;0.346
BaseRelic;Ranger;0;0.94;0;0.313
Druid;FlameSwordsman;1.423;4.173;-5.08;0.172
FlameSwordsman;Ranger;0.077;0.013;0;0.03
Ranger;Treant;-1.831;-0.188;0.915;-0.368
Defender;Ranger;-0.433;-1.241;0;-0.558
Cryomancer;IronSpearman;1.235;-1.895;-2.29;-0.983
Cryomancer;WhirlMonk;-3.497;0.338;-0.882;-1.347
Druid;Ranger;-8.401;-1.703;3.688;-2.139
BaseRelic;LightShepherd;0;-6.46;0.039;-2.14
LightShepherd;Ranger;-16.146;2.353;2.044;-3.916
FlameSwordsman;WhirlMonk;-1.432;5.319;-15.829;-3.981
Cryomancer;FlameSwordsman;6.708;-14.073;-6.825;-4.73
Cryomancer;Ranger;2.102;-15.652;-6.669;-6.74
BaseRelic;Cryomancer;0;-12.835;-7.395;-6.743
IronSpearman;WhirlMonk;-24.838;3.561;-1.448;-7.575
FlameSwordsman;Treant;-24.542;1.31;-0.206;-7.813
BaseRelic;IronSpearman;-34.545;8.756;1.944;-7.949
Defender;FlameSwordsman;-10.786;-4.952;-8.145;-7.961
BaseRelic;Druid;-7.969;-4.055;-15.983;-9.335
Cryomancer;Treant;-7.376;-14.92;-6.41;-9.568
Cryomancer;Defender;-9.564;-14.43;-5.254;-9.749
Cryomancer;LightShepherd;-23.088;-10.004;1.073;-10.673
Druid;IronSpearman;-3.12;-14.522;-14.708;-10.783
Assassin;FlameSwordsman;-28.73;-4.5;0.708;-10.841
FlameSwordsman;IronSpearman;-30.999;-6.408;3.396;-11.337
Assassin;LightShepherd;-16.073;-11.836;-6.115;-11.342
BaseRelic;Treant;-32.479;-1.948;0;-11.476
Assassin;BaseRelic;-23.81;-12.665;0;-12.158
Cryomancer;Druid;-15.344;-8.658;-14.896;-12.966
Druid;Treant;-5.985;-15.531;-21.65;-14.388
Defender;Druid;-9.636;-21.784;-18.422;-16.614
LightShepherd;Treant;-9.343;-23.706;-22.052;-18.367
Assassin;Druid;-29.397;-14.216;-11.546;-18.386
Defender;LightShepherd;-14.732;-22.452;-18.167;-18.451
Assassin;WhirlMonk;-41.385;-18.591;4.551;-18.475
LightShepherd;WhirlMonk;-23.372;-13.291;-20.577;-19.08
Assassin;IronSpearman;-63.084;-14.532;17.628;-19.996
Druid;WhirlMonk;-33.684;-5.575;-22.115;-20.458
IronSpearman;Treant;-51.264;-6.504;-7.17;-21.646
BaseRelic;Defender;-52.093;-9.428;-5.4;-22.307
Druid;LightShepherd;-23.681;-17.571;-27.575;-22.942
Assassin;Treant;-43.781;-25.035;-2.548;-23.788
Treant;WhirlMonk;-42.506;-11.362;-17.937;-23.935
Defender;IronSpearman;-42.081;-18.349;-16.49;-25.64
Assassin;Defender;-39.686;-34.096;-6.873;-26.885
Defender;WhirlMonk;-47.934;-17.477;-28.358;-31.256
Defender;Treant;-66.752;-43.791;-44.517;-51.687
