Left \ Right;Assassin;BaseRelic;Cryomancer;Defender;Druid;FlameSwordsman;IronSpearman;LightShepherd;Ranger;Treant;WhirlMonk
Assassin;-;W 45%;W 36%;L;D 13%;W 37%;L;D 18%;W 31%;L;D 2%
BaseRelic;L;-;L;L;L;L;L;L;L;L;L
Cryomancer;L;W 25%;-;L;D 3%;W 17%;D 3%;L;W 9%;L;L
Defender;W 16%;W 63%;W 39%;-;W 37%;W 59%;W 45%;W 52%;W 51%;L;D 36%
Druid;D 1%;W 20%;D 1%;L;-;D 23%;D 4%;D 4%;W 11%;L;D 8%
FlameSwordsman;L;W 3%;L;L;D 3%;-;L;D 11%;W 7%;D 2%;L
IronSpearman;W 10%;W 31%;D 23%;L;D 14%;W 16%;-;W 33%;W 12%;L;W 10%
LightShepherd;D 8%;W 40%;W 44%;L;D 27%;D 8%;L;-;D 22%;L;D 8%
Ranger;L;W 17%;L;L;L;L;L;D 3%;-;L;D 2%
Treant;W 13%;W 46%;W 21%;W 20%;W 26%;D 37%;W 36%;W 29%;W 41%;-;D 32%
WhirlMonk;D 17%;W 22%;W 18%;D 1%;D 1%;W 17%;L;D 9%;D 30%;D 1%;-
