Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Druid;16;0;4;0.9;28.266;90;3172.674;495.828;0;12.97
2;Defender;14;4;2;0.75;37.785;60;1118.228;3297.522;0;4.622
3;LightShepherd;12;2;6;0.75;31.073;90;1256;668.004;0;4.622
4;Assassin;10;6;4;0.6;35.971;70;2309.06;1285.975;0;2.072
5;Treant;10;6;4;0.6;32.171;60;2307.186;2580.817;38.253;2.072
6;IronSpearman;8;6;6;0.55;16.168;10;2377.584;2027.301;0;1.608
7;FlameSwordsman;8;8;4;0.5;27.364;60;2096.243;1852.273;0;1.247
8;WhirlMonk;4;8;8;0.4;33.737;40;2021.346;2002.446;0;0.735
9;Cryomancer;4;14;2;0.25;29.821;30;2899.207;1118.745;0;0.291
10;Ranger;2;14;4;0.2;36.842;30;1927.756;1166.617;0;0.198
11;BaseRelic;0;20;0;0;0;0;455.93;1234.3;0;0.01
