Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Druid;16;0;4;0.9;28.266;90;3172.674;495.828;0;12.97;16;41.552;0;0;0;1.6;16.5;66;16.5;515.76;0;0;0
2;Defender;14;4;2;0.75;37.785;60;1118.228;3297.522;0;4.622;0;2228.773;0;2;4;4.4;8;14;0;0;0;0;0
3;LightShepherd;12;2;6;0.75;31.073;90;1256;668.004;0;4.622;0;54.426;0;0;0;1.8;0;0;0;2573.763;0;0;0
4;Assassin;10;6;4;0.6;35.971;70;2309.06;1285.975;0;2.072;0;265.161;6.6;0;0;3.84;0;0;0;0;0;0;0
5;Treant;10;6;4;0.6;32.171;60;2307.186;2580.817;38.253;2.072;0;2760.333;0;0;0;6.2;0;0;0;0;0;0;0
6;IronSpearman;8;6;6;0.55;16.168;10;2377.584;2027.301;0;1.608;0;766.079;0;0;0;3.68;0;0;0;0;0;0;0
7;FlameSwordsman;8;8;4;0.5;27.364;60;2096.243;1852.273;0;1.247;0;651.573;0;0;0;0.93;31.6;54.5;10.9;0;0;0;0
8;WhirlMonk;4;8;8;0.4;33.737;40;2021.346;2002.446;0;0.735;0;487.794;0;1;7.2;2.3;0;0;0;0;0;0;0
9;Cryomancer;4;14;2;0.25;29.821;30;2899.207;1118.745;0;0.291;0;60.692;0;88.2;25.9;0.1;25.9;88.2;0;0;0;0;0
10;Ranger;2;14;4;0.2;36.842;30;1927.756;1166.617;0;0.198;0;132.333;0;0;0;2.85;11.2;56;0;0;0;0;0
11;BaseRelic;0;20;0;0;0;0;455.93;1234.3;0;0.01;0;0;0;0;0;0.48;0;0;0;0;0;0;0
