Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Defender;16;2;2;0.85;40.759;80;30.13;10;1197.642;3143.586;0;6.65;0;2147.834;0;2.1;4.2;4.4;8.4;14.7;0;0;0;0;0
2;LightShepherd;14;2;4;0.8;29.365;90;42.242;20;1276;584.624;0;4.839;0;48.656;0;0;0;1.8;0;0;0;2588.042;0;0;0
3;Assassin;10;4;6;0.65;36.991;80;29.69;30;2332.755;1284.18;0;2.182;0;255.907;6.6;0;0;3.84;0;0;0;0;0;0;0
4;Treant;10;4;6;0.65;30.222;80;40.024;30;2314.329;2459.29;37.378;2.182;0;2695.01;0;0;0;6.2;0;0;0;0;0;0;0
5;IronSpearman;8;4;8;0.6;16.513;0;28.028;40;2399.51;2085.621;0;1.716;0;815.299;0;0;0;3.68;0;0;0;0;0;0;0
6;WhirlMonk;6;4;10;0.55;19.298;50;29.52;50;1940.204;1982.158;0;1.356;0;487.202;0;0.96;6.9;2.3;0;0;0;0;0;0;0
7;Druid;2;4;14;0.45;19.942;80;31.756;70;1809.224;1051.878;0;0.846;0;79.122;0;0;0;3;10.2;40.8;10.2;72;0.5;1.5;0
8;Cryomancer;6;10;4;0.4;20.589;50;48.642;20;3051.95;1079.17;0;0.663;0;59.667;0;92.4;27.1;0.1;27.1;92.4;0;0;0;0;0
9;FlameSwordsman;2;12;6;0.25;3.423;40;27.419;30;1453.63;1455.996;0;0.296;0;523.01;0;0;0;0.88;28.3;53;10.6;0;0;0;0
10;Ranger;0;10;10;0.25;0;50;27.787;50;2088.345;1273.939;0;0.296;0;146.561;0;0;0;2.85;22.2;111;0;0;0;0;0
11;BaseRelic;0;18;2;0.05;0;0;26.141;10;965.985;2071.455;0;0.057;0;0;0;0;0;0.88;0;0;0;0;0;0;0
