Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Defender;16;2;2;0.85;40.331;80;30.133;10;10;1199.295;3173.586;0;7.993;0;2163.434;0;2.1;4.2;4.4;8.4;14.7;0;0;0;0;0
2;LightShepherd;14;2;4;0.8;27.605;90;42.146;20;30;1286;584.624;0;5.801;0;48.656;0;0;0;1.8;0;0;0;2591.976;0;0;0
3;Assassin;10;4;6;0.65;37.336;80;29.5;30;30;2324.993;1311.93;0;2.592;0;256.707;6.6;0;0;3.84;0;0;0;0;0;0;0
4;Treant;10;4;6;0.65;29.781;80;39.986;30;30;2312.037;2480.013;37.288;2.592;0;2713.087;0;0;0;6.2;0;0;0;0;0;0;0
5;IronSpearman;8;4;8;0.6;16.513;0;28.028;40;40;2374.425;2076.931;0;2.03;0;814.389;0;0;0;3.68;0;0;0;0;0;0;0
6;WhirlMonk;6;4;10;0.55;19.298;50;29.52;50;50;1941.416;1989.358;0;1.595;0;487.202;0;0.96;6.9;2.3;0;0;0;0;0;0;0
7;Druid;4;4;12;0.5;15.556;70;31.517;60;60;1804.405;1085.212;0;1.252;0;80.899;0;0;0;3;10.1;40.4;10.1;66;0.4;1.2;0
8;Cryomancer;6;10;4;0.4;17.157;50;49.213;20;30;3026.553;1151.434;0;0.757;0;61.66;0;90.8;26.7;0.1;26.7;90.8;0;0;0;0;0
9;FlameSwordsman;4;12;4;0.3;5.2;40;27.842;20;20;1453.63;1455.996;0;0.432;0;523.01;0;0;0;0.88;28.3;53;10.6;0;0;0;0
10;Ranger;2;14;4;0.2;17.15;30;29.329;20;20;2379.231;1272.255;0;0.216;0;71.905;0;0;0;2.85;11.6;58;0;0;0;0;0
11;BaseRelic;0;20;0;0;0;0;26.34;0;0;965.985;2071.455;0;0.011;0;0;0;0;0;0.88;0;0;0;0;0;0;0
