Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Arcanist;52;0;0;100;34.044;100;26.978;0;0;5043.549;246.292;0;2863.309;0;11.836;0.115;0;0;0.346;58.385;349.218;0;0;0;0;0
2;WaterMonk;46;4;2;90.385;60.711;92.308;30.231;3.846;3.846;3243.243;987.138;0;120.77;0;259.189;0;0.269;6.635;0.031;35.173;87.974;0;0;4.269;21.346;0
3;LightShepherd;44;8;0;84.615;56.561;84.615;44.399;0;7.692;1843.747;251.342;0;53.207;44.07;22.261;0;0;0;0;0;0;0;4139.567;5.288;0;0.885
4;Dreameater;44;8;0;84.615;29.972;84.615;45.555;0;11.538;3566.895;544.574;0;53.207;0;34.274;0;16.292;4.096;0;8.192;32.585;4.096;0;0;0;0
5;Defender;42;8;2;82.692;53.001;76.923;31.936;3.846;3.846;1532.276;3211.377;0;42.003;0;2118.307;0;2.1;2.115;0.308;4.231;8.401;0;0;0;0;0
6;Nightblade;42;9;1;81.731;42.818;67.308;38.171;1.923;15.385;3463.994;1006.865;0;37.458;0;140.847;0;0;0;0.192;24.5;131.067;24.5;0;0;0;0
7;Frostbound;41;11;0;78.846;49.223;38.462;36.554;0;9.615;3238.594;1927.787;0;26.836;0;535.862;0;0.288;0.288;0.154;20.712;0.288;0;0;0;0;0
8;Necromancer;39;10;3;77.885;34.156;80.769;47.747;5.769;19.231;956.193;510.502;0;24.07;0;23.915;0;0;0;0.115;0;0;0;0;0.923;11.077;0
9;Assassin;26;8;18;67.308;38.778;80.769;31.2;34.615;34.615;1629.062;1261.41;0;7.527;0;214.589;5.788;0;0;0.154;0;0;0;0;0;0;0
10;Treant;30;16;6;63.462;30.905;50;38.644;11.538;15.385;1686.468;2671.525;33.159;4.986;0;2588.684;0;0;0;0.3;0;0;0;0;0;0;0
11;IronSpearman;30;17;5;62.5;35.829;25;45.076;9.615;21.154;1992.05;2008.044;0;4.502;0;792.747;0;0;1.019;0.038;1.019;1.019;0;0;0;0;0
12;WhirlMonk;22;16;14;55.769;35.215;61.538;53.14;26.923;36.538;1616.401;1886.474;0;2.227;0;474.694;0;1.158;4.808;0.038;1.731;0.688;0;0;0;0;0
13;Emberkeeper;24;20;8;53.846;33.571;57.692;48.729;15.385;26.923;1728.153;1003.536;0;1.824;325.303;57.864;0;0;0;0.369;0;0;0;464.591;66.731;66.731;1.423
14;Druid;22;22;8;50;36.415;57.692;36.467;15.385;17.308;1842.597;762.817;0;1.224;9.231;57.65;0;0;0;0.346;12.423;49.169;12.423;48.462;0.269;0.808;0
15;FlameSwordsman;20;22;10;48.077;30.39;38.462;32.394;19.231;19.231;1294.001;1497.301;0;1.002;0;536.938;0;0;0;0;34.327;63.449;12.788;0;0;0;0
16;Ranger;22;26;4;46.154;30.397;46.154;34.438;7.692;7.692;2892.737;941.148;0;0.818;0;49.3;0;0;0;0.231;7.942;39.505;0;0;0;0;0
17;TrashHexer;12;27;13;35.577;29.559;48.077;33.521;25;25;832.203;743.003;0;0.255;0;65.924;0;0;0;0;6.269;35.178;0;0;0;0;0
18;Antimage;17;33;2;34.615;28.792;7.692;35.745;3.846;7.692;835.634;3024.967;0;0.228;0;1170.438;0.308;0;0;0.285;3.173;0;0;0;0;0;0
19;TrashBonecaller;16;34;2;32.692;22.381;34.615;47.342;3.846;17.308;253.517;794.488;0;0.181;0;51.133;0;0;0;0.077;0;0;0;0;0;0;0
20;Cryomancer;16;36;0;30.769;30.418;30.769;37.933;0;0;2775.262;1035.184;0;0.143;0;54.434;0;2.135;2.058;0.231;30.096;2.135;0;0;0;0;0
21;TrashShieldbearer;12;36;4;26.923;29.919;3.846;33.138;7.692;11.538;394.031;2343.047;0;0.086;0;927.137;0;0;0;0;0;0;0;0;0;0;0
22;TrashArcher;10;42;0;19.231;31.765;19.231;33.352;0;0;2085.86;836.409;0;0.027;0;54.486;0;0;0;0.038;0;0;0;0;0;0;0
23;TrashBrawler;8;44;0;15.385;21.473;0;31.525;0;0;504.915;1460.49;0;0.014;0;300.011;0;0;0;0;0;0;0;0;0;0;0
24;TrashHerbalist;6;46;0;11.538;16.065;11.538;46.721;0;3.846;522.047;1350.659;0;0.007;641.564;88.312;0;0;0;0.154;0;0;0;1925.794;7.135;0;0
25;TrashCutthroat;4;48;0;7.692;11.448;3.846;30.982;0;3.846;292.765;1112.744;0;0.003;0;116.882;0;0;0;0;0;0;0;0;0;0;0
26;Hemomancer;2;50;0;3.846;10.394;3.846;28.304;0;0;1930.382;1676.598;0;0.001;365.085;96.812;0;0;0;0.246;0.462;1.385;0.462;365.085;0;0;0
27;BaseRelic;2;50;0;3.846;6.474;0;30.576;0;0;264.007;1048.958;0;0.001;0;153.853;0;0;0;0;0;0;0;0;0;0;0
