Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Nightblade;45;3;4;90.385;43.957;73.077;36.326;7.692;13.462;3206.606;1009.791;0;57.607;0;141.451;0;0;0;0;24.538;134.182;24.538;0;0;0;0;0;0
2;LightShepherd;44;4;4;88.462;49.19;92.308;47.862;7.692;11.538;1801.923;186.146;0;46.023;55.142;15.559;0;0;0;0;0;0;0;3205.995;0;51.18;4.75;0;0.769
3;WaterMonk;45;5;2;88.462;41.803;63.462;34.911;3.846;5.769;2683.758;1615.741;0;46.023;0;436.55;0;0;6.442;0.038;30.25;68.931;0;0;790.044;18.459;1.077;5.385;0
4;Druid;38;4;10;82.692;47.955;92.308;38.856;19.231;23.077;1862.76;311.978;0;25.69;41.538;22.46;0;0;0;0;12.808;50.321;12.808;1404.266;0;18.111;4.385;13.154;0
5;Defender;41;9;2;80.769;42.134;34.615;41.855;3.846;13.462;1288.537;2829.756;0;21.561;0;1923.177;0;1.654;1.654;0.308;3.308;6.615;0;0;467.249;9.444;0;0;0
6;Necromancer;39;10;3;77.885;29.336;78.846;58.203;5.769;23.077;984.346;537.04;0;16.764;0;21.403;0;0;0;0;0;0;0;0;46.923;0.683;1.096;13.154;0
7;IronSpearman;36;10;6;75;34.32;26.923;42.891;11.538;15.385;2028.891;1999.218;0;13.162;0;796.945;0;0;1.058;0.154;1.058;1.058;0;0;88.482;1.348;0;0;0
8;Treant;34;10;8;73.077;29.69;57.692;46.185;15.385;26.923;1766.731;2609.631;32.216;11.245;0;2536.804;0;0;0;0.538;0;0;0;0;0;0;0;0;0
9;Assassin;28;6;18;71.154;41.637;80.769;31.68;34.615;34.615;1722.069;1256.286;0;9.628;0;216.861;6.212;0;0;0.462;0;0;0;0;0;0;0;0;0
10;Arcanist;25;9;18;65.385;30.652;82.692;36.43;34.615;34.615;3829.462;610.402;0;6.093;0;35.072;0.096;0;0;0.154;77.115;460.526;0;0;0.907;0.008;0;0;0
11;Emberkeeper;28;15;9;62.5;31.259;67.308;68.324;17.308;42.308;1962.04;1050.071;0;4.855;411.27;62.221;0;0;0;0;0;0;0;496.347;0;5.063;41.923;41.923;1.077
12;Frostbound;28;18;6;59.615;37.25;13.462;40.419;11.538;17.308;1931.072;2053.763;0;3.867;0;591.833;0;0.288;0.288;0;13.308;0.288;0;0;0;0;0;0;0
13;WhirlMonk;14;8;30;55.769;37.961;84.615;81.112;57.692;73.077;1297.775;1743.061;0;2.848;0;435.393;0;0.331;1.462;0.038;0.462;0.185;0;0;0;0;0;0;0
14;FlameSwordsman;20;20;12;50;29.05;38.462;33.43;23.077;23.077;1334.721;1480.844;0;1.78;0;532.733;0;0;0;0;35.423;65.66;13.231;0;0;0;0;0;0
15;Ranger;22;22;8;50;28.895;53.846;34.354;15.385;15.385;3056.859;914.842;0;1.78;0;47.597;0;0;0;0.231;6.673;33.159;0;0;0;0;0;0;0
16;Dreameater;14;22;16;42.308;28.11;57.692;52.296;30.769;34.615;2022.429;970.962;0;0.916;0;59.037;0;13.29;3.346;0.038;6.692;26.579;3.346;0;0;0;0;0;0
17;Antimage;19;28;5;41.346;26.692;7.692;36.24;9.615;11.538;866.946;3030.987;0;0.839;0;1166.495;0.385;0;0;0.423;3.231;0;0;0;0;0;0;0;0
18;Cryomancer;20;30;2;40.385;27.261;42.308;40.161;3.846;3.846;2827.524;957.629;0;0.768;0;49.977;0;2.115;2.038;0.192;30.308;2.115;0;0;0;0;0;0;0
19;TrashHexer;12;26;14;36.538;26.466;50;35.065;26.923;26.923;840.335;784.013;0;0.53;0;70.298;0;0;0;0;2;11.867;0;0;0;0;0;0;0
20;TrashShieldbearer;14;34;4;30.769;25.957;3.846;38.55;7.692;11.538;416.902;2366.227;0;0.285;0;941.103;0;0;0;0.154;0;0;0;0;233.388;4.318;0;0;0
21;TrashArcher;12;39;1;24.038;25.488;19.231;34.207;1.923;1.923;2246.135;849.083;0;0.12;0;56.527;0;0;0;0;0;0;0;0;0;0;0;0;0
22;TrashBonecaller;9;39;4;21.154;27.649;25;52.485;7.692;21.154;247.955;823.165;0;0.078;0;53.592;0;0;0;0.019;0;0;0;0;0;0;0;0;0
23;Hemomancer;8;44;0;15.385;23.143;15.385;32.945;0;3.846;3100.881;1655.357;0;0.029;168.246;98.4;0;0;0;0.077;0.038;0.115;0.038;168.246;0;5.107;0;0;0
24;TrashBrawler;6;46;0;11.538;21.21;0;35.895;0;3.846;519.539;1460.331;0;0.013;0;299.978;0;0;0;0;0;0;0;0;0;0;0;0;0
25;TrashHerbalist;6;46;0;11.538;7.013;11.538;48.835;0;7.692;556.043;1453.35;0;0.013;724.239;97.137;0;0;0;0;0;0;0;1963.47;0;40.206;6.885;0;0
26;TrashCutthroat;2;50;0;3.846;3.619;3.846;30.63;0;0;292.253;1118.358;0;0.001;0;118.371;0;0;0;0;0;0;0;0;0;0;0;0;0
27;BaseRelic;0;52;0;0;0;0;33.749;0;3.846;274.118;1058.568;0;0;0;155.295;0;0;0;0;0;0;0;0;0;0;0;0;0
