Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
WaterMonk;Bruiser;WhirlMonk;W;47.582;0;47.582;48.3
Necromancer;Support;Emberkeeper;W;40.624;0;40.624;48.3
Arcanist;Ranged;TrashArcher;W;40.506;0;40.506;21.8
Defender;Tank;Treant;W;30.587;0;30.587;31
Frostbound;Bruiser;WhirlMonk;W;27.901;0;27.901;48.3
Cryomancer;Ranged;TrashArcher;W;17.825;0;17.825;38.467
IronSpearman;Bruiser;WhirlMonk;W;15.535;0;15.535;36.3
Dreameater;Ranged;TrashArcher;W;5.724;0;5.724;40.167
LightShepherd;Healer;—;timeout;5.015;5.015;0;240
Treant;Tank;Treant;timeout;5.015;5.015;0;240
TrashHerbalist;Healer;—;timeout;5.015;5.015;0;240
TrashCutthroat;Assassin;—;timeout;5.015;5.015;0;240
TrashArcher;Ranged;TrashArcher;timeout;5.015;5.015;0;240
Nightblade;Assassin;—;timeout;5.015;5.015;0;240
WhirlMonk;Bruiser;WhirlMonk;timeout;5.015;5.015;0;240
FlameSwordsman;Assassin;—;timeout;5.015;5.015;0;240
Emberkeeper;Support;Emberkeeper;timeout;5.015;5.015;0;240
Assassin;Assassin;—;timeout;5.015;5.015;0;240
Ranger;Ranged;TrashArcher;L;0;3.794;-3.794;84.533
Druid;Support;Emberkeeper;L;0;8.537;-8.537;46.567
Antimage;Tank;Treant;L;0;21.176;-21.176;31.567
TrashBonecaller;Support;Emberkeeper;L;0;25.904;-25.904;48.3
TrashShieldbearer;Tank;Treant;L;0;26.147;-26.147;27.333
TrashHexer;Support;Emberkeeper;L;0;27.031;-27.031;33.867
Geomancer;Ranged;TrashArcher;L;0;30.009;-30.009;48.3
TrashBrawler;Bruiser;WhirlMonk;L;0;34.773;-34.773;34.233
BaseRelic;Bruiser;WhirlMonk;L;0;40.893;-40.893;31.233
