Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;BTStrength
1;Treant;18;0;2;0.95;50.437;75;22.377
2;IronSpearman;13;3;4;0.75;30.086;85;4.394
3;Druid;11;6;3;0.625;29.62;70;2.237
4;Assassin;11;7;2;0.6;22.607;35;1.973
5;WhirlMonk;8;4;8;0.6;22.906;65;1.973
6;Defender;11;9;0;0.55;35.521;10;1.541
7;LightShepherd;9;8;3;0.525;54.999;60;1.363
8;FlameSwordsman;3;7;10;0.4;18.816;60;0.724
9;Ranger;6;13;1;0.325;25.849;35;0.476
10;Cryomancer;3;16;1;0.175;34.491;20;0.162
11;BaseRelic;0;20;0;0;0;0;0.01
