Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Treant;18;0;2;0.95;37.71;100;4419.154;1310.803;75.525;26.285
2;Druid;15;3;2;0.8;35.313;85;3326.784;508.448;0;6.513
3;LightShepherd;14;3;3;0.775;52.307;85;1277.1;350.486;0;5.449
4;Defender;12;5;3;0.675;41.41;55;932.87;3052.972;0;2.863
5;FlameSwordsman;5;3;12;0.55;29.708;80;1963.859;1821.141;0;1.408
6;Assassin;5;10;5;0.375;33.273;45;1545.731;1387.365;0;0.552
7;IronSpearman;3;8;9;0.375;28.622;10;2512.638;1970.715;0;0.552
8;Ranger;4;10;6;0.35;14.768;50;2395.542;1142.539;0;0.48
9;Cryomancer;3;10;7;0.325;23.427;50;2678.22;1095.958;0;0.417
10;WhirlMonk;3;10;7;0.325;29.773;20;2006.562;2047.786;0;0.417
11;BaseRelic;0;20;0;0;0;0;637.452;1289.625;0;0.01
