Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;BTStrength
1;Treant;17;2;1;0.875;46.45;90;11.623
2;LightShepherd;14;2;4;0.8;60.569;90;6.922
3;WhirlMonk;11;3;6;0.7;23.088;75;3.882
4;IronSpearman;12;6;2;0.65;32.898;70;2.977
5;Druid;12;8;0;0.6;26.04;60;2.299
6;Assassin;10;9;1;0.525;32.521;55;1.563
7;Defender;10;10;0;0.5;42.062;30;1.373
8;FlameSwordsman;6;9;5;0.425;19.04;45;0.916
9;Cryomancer;6;14;0;0.3;14.63;30;0.423
10;Ranger;2;17;1;0.125;42.235;15;0.08
11;BaseRelic;0;20;0;0;0;0;0.007
