Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Treant;19;0;1;0.975;36.885;100;2583.736;1297.512;68.935;38.665
2;Assassin;14;3;3;0.775;28.401;75;2011.681;1179.483;0;5.098
3;WhirlMonk;12;5;3;0.675;37.082;60;2110.433;1725.713;0;2.765
4;FlameSwordsman;10;4;6;0.65;28.428;75;1931.932;1697.609;0;2.407
5;Defender;11;8;1;0.575;40.792;55;1067.098;2970.384;0;1.618
6;LightShepherd;7;8;5;0.475;63.256;60;1010.5;860.842;0;0.97
7;IronSpearman;5;7;8;0.45;20.593;15;1882.505;1952.615;0;0.854
8;Druid;4;8;8;0.4;20.813;60;1996.266;1143.063;0;0.657
9;Cryomancer;2;10;8;0.3;26.202;50;1626.836;1191.937;0;0.374
10;Ranger;2;13;5;0.225;25.155;25;1281.142;1243.111;0;0.228
11;BaseRelic;0;20;0;0;0;0;433.403;1260.2;0;0.01
