Left \ Right;Assassin;BaseRelic;Cryomancer;Defender;Druid;FlameSwordsman;IronSpearman;LightShepherd;Ranger;Treant;WhirlMonk
Assassin;-;W 31%;D 3%;W 42%;W 6%;L;W 20%;W 32%;W 33%;W 4%;W 18%
BaseRelic;L;-;L;L;W 22%;L;L;L;D 5%;L;L
Cryomancer;D 4%;W 5%;-;L;W 18%;L;L;L;W 3%;L;L
Defender;L;W 61%;W 20%;-;W 42%;W 4%;W 42%;W 38%;W 35%;W 26%;D 4%
Druid;L;L;L;L;-;L;L;L;L;L;L
FlameSwordsman;W 16%;W 37%;W 26%;L;W 35%;-;L;D 30%;W 40%;L;W 0%
IronSpearman;L;W 33%;W 15%;L;W 28%;W 6%;-;W 31%;W 28%;L;W 15%
LightShepherd;L;W 31%;W 25%;L;W 34%;D 2%;L;-;W 28%;L;L
Ranger;L;D 3%;L;L;W 28%;L;L;L;-;L;L
Treant;L;W 38%;W 19%;L;W 40%;W 5%;W 21%;W 26%;W 35%;-;W 18%
WhirlMonk;L;W 36%;W 17%;D 7%;W 43%;L;L;W 33%;W 30%;L;-
