Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Antimage;-;L;L;W 52%;W 29%;L;L;W 26%;W 38%;W 24%;L;W 42%;L;L;W 35%;D 0%;W 1%;W 26%;W 56%;W 41%;W 50%;W 46%;W 49%;L;L;L;D 21%
Arcanist;W 5%;-;L;W 41%;W 7%;L;L;W 27%;W 27%;W 6%;L;W 31%;W 7%;L;W 29%;L;L;W 12%;W 52%;W 29%;W 43%;W 38%;W 42%;W 25%;L;L;W 9%
Assassin;W 46%;W 6%;-;W 56%;W 11%;D 3%;L;W 16%;W 32%;W 22%;W 14%;W 39%;W 7%;W 30%;W 47%;L;W 36%;W 46%;W 41%;W 52%;W 54%;W 53%;W 48%;W 55%;D 7%;D 5%;W 33%
BaseRelic;L;L;L;-;L;L;L;L;L;L;L;L;L;L;L;L;L;L;D 18%;L;L;L;L;L;L;L;L
Cryomancer;L;L;L;W 44%;-;L;L;W 17%;W 29%;L;L;W 33%;L;L;W 29%;L;L;W 21%;W 52%;W 33%;W 41%;W 40%;W 44%;L;L;L;L
Defender;W 57%;W 44%;D 36%;W 66%;W 36%;-;W 28%;W 47%;W 53%;W 45%;W 43%;W 56%;W 4%;W 31%;W 55%;W 22%;W 39%;W 51%;W 71%;W 60%;W 68%;W 63%;W 63%;W 55%;W 43%;L;W 38%
Dreameater;W 15%;W 8%;W 4%;W 48%;W 18%;L;-;W 26%;W 34%;W 25%;W 3%;W 40%;W 5%;L;W 35%;L;W 3%;W 27%;W 55%;W 40%;W 40%;W 49%;W 46%;W 31%;L;L;W 27%
Druid;L;L;L;W 38%;L;L;L;-;L;L;L;W 27%;L;L;L;L;L;L;W 43%;W 26%;W 34%;W 25%;W 33%;L;L;L;L
Emberkeeper;L;L;L;W 36%;L;L;L;W 22%;-;L;L;W 30%;L;L;L;L;L;L;W 44%;W 13%;W 38%;W 30%;W 36%;L;L;L;L
FlameSwordsman;L;L;L;W 40%;W 4%;L;L;W 24%;W 14%;-;L;W 34%;L;L;W 28%;L;L;W 13%;W 52%;W 28%;W 37%;W 49%;W 47%;D 0%;L;L;D 4%
