Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Defender;16;2;2;0.85;29.409;80;1294.196;3204.763;0;11.75
2;Treant;16;4;0;0.8;23.162;70;1907.727;2245.385;37.622;8.403
3;Assassin;14;4;2;0.75;29.148;60;2263.085;1139.662;0;6.197
4;FlameSwordsman;12;6;2;0.65;22.895;60;1986.165;1738.499;0;3.532
5;IronSpearman;12;6;2;0.65;23.492;40;2342.087;1854.13;0;3.532
6;WhirlMonk;10;8;2;0.55;29.212;50;1686.519;1799.136;0;2.049
7;Druid;8;8;4;0.5;27.868;50;2435.829;812.188;0;1.551
8;LightShepherd;6;12;2;0.35;32.884;40;1013;1170.976;0;0.612
9;Cryomancer;4;12;4;0.3;22.464;40;2295.562;1161.327;0;0.422
10;Ranger;2;18;0;0.1;39.245;10;1640.744;1212.302;0;0.038
11;BaseRelic;0;20;0;0;0;0;449.884;1252.87;0;0.004
