Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Assassin;16;2;2;0.85;24.979;70;2342.323;1161.095;0;9.248;0;241.012;6.9;0;0;2.05;0;0;0;0;0;0;0
2;Defender;16;2;2;0.85;36.622;80;1274.761;3097.826;0;9.248;0;2125.362;0;2.1;4.2;6.52;8.4;14.7;0;0;0;0;0
3;Treant;16;4;0;0.8;26.875;80;1925.584;2207.803;37.581;6.49;0;2244.681;0;0;0;4.72;0;0;0;0;0;0;0
4;WhirlMonk;12;6;2;0.65;28.948;50;1793.778;1833.768;0;2.563;0;449.902;0;1.12;7;3.8;0;0;0;0;0;0;0
5;IronSpearman;12;6;2;0.65;25.665;60;2309.05;1776.47;0;2.563;0;669.69;0;0;0;4.08;0;0;0;0;0;0;0
6;FlameSwordsman;6;8;6;0.45;10.243;30;1440.672;1529.26;0;0.803;0;530.793;0;0;0;1.88;31.7;59;11.8;0;0;0;0
7;LightShepherd;8;10;2;0.45;26.886;50;1073;1079.68;0;0.803;257;88.26;0;0;0;1.45;0;0;0;1833.775;0;0;0
8;Cryomancer;6;10;4;0.4;6.272;50;2478.896;1183.17;0;0.594;0;62.534;0;71.4;20;0.14;20;71.4;0;0;0;0;0
9;Ranger;2;16;2;0.15;19.499;20;1892.23;1246.174;0;0.104;0;140.726;0;0;0;3.69;7.5;37.5;0;0;0;0;0
10;Druid;2;16;2;0.15;14.34;10;1511.343;1406.947;0;0.104;72;105.317;0;0;0;4.09;8.9;35.6;8.9;540;2.9;8.7;0
11;BaseRelic;0;16;4;0.1;0;0;938.056;2056.975;0;0.067;0;0;0;0;0;2.28;0;0;0;0;0;0;0
