Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Assassin;18;0;2;0.95;22;70;22.015;10;10;2389.802;1150.595;0;56.793;0;244.745;6.9;0;0;2.05;0;0;0;0;0;0;0
2;Defender;16;2;2;0.85;36.563;80;26.03;10;10;1244.777;3122.561;0;19.283;0;2127.926;0;2.1;4.2;6.52;8.4;14.7;0;0;0;0;0
3;Treant;16;4;0;0.8;26.883;80;26.263;0;0;1933.22;2206.596;37.099;12.435;0;2248.688;0;0;0;4.72;0;0;0;0;0;0;0
4;IronSpearman;12;6;2;0.65;24.388;50;22.689;10;10;2271.247;1814.953;0;3.882;0;687.907;0;0;0;4.08;0;0;0;0;0;0;0
5;WhirlMonk;12;6;2;0.65;28.158;50;20.122;10;10;1781.918;1858.888;0;3.882;0;453.182;0;1.12;7;3.8;0;0;0;0;0;0;0
6;Ranger;10;10;0;0.5;16.691;50;20.727;0;0;2201.883;972.656;0;1.318;0;53.744;0;0;0;1.49;4.2;21;0;0;0;0;0
7;LightShepherd;6;12;2;0.35;28.145;40;23.259;10;10;1053;1096.402;0;0.436;103.875;77.931;0;0;0;1.45;0;0;0;1637.013;0;0;0
8;FlameSwordsman;4;10;6;0.35;11.604;40;19.686;30;30;1430.112;1519.639;0;0.436;0;528.922;0;0;0;1.88;31.5;58.5;11.7;0;0;0;0
9;Cryomancer;4;12;4;0.3;11.517;40;25.796;20;20;2334.552;1166.66;0;0.29;0;60.241;0;67.4;18.9;0.14;18.9;67.4;0;0;0;0;0
10;BaseRelic;2;18;0;0.1;21.925;10;19.673;0;0;905.871;2035.775;0;0.025;0;0;0;0;0;2.28;0;0;0;0;0;0;0
11;Druid;0;20;0;0;0;0;20.483;0;0;1386.838;1371.008;0;0.003;0;100.556;0;0;0;2.69;8;32;8;78;0.5;1.5;0
