Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Arcanist;50;2;0;96.154;34.724;96.154;18.581;0;0;3218.923;304.903;0;1480.648;0;18.007;0.192;0;0;0.038;31.769;188.836;0;0;0;0;0
2;WaterMonk;48;0;4;96.154;49.435;96.154;20.626;7.692;7.692;2371.36;1095.619;0;1480.648;0;276.968;0;0.154;4.615;0.031;25.058;63.09;0;0;4.077;20.385;0
3;Defender;46;4;2;90.385;47.725;84.615;24.05;3.846;3.846;1243.713;2463.999;0;446.469;0;1592.814;0;1.647;1.692;0.415;3.385;6.587;0;0;0;0;0
4;Treant;42;8;2;82.692;35.035;80.769;27.765;3.846;7.692;1523.866;1961.244;28.583;136.386;0;1764.259;0;0;0;0.454;0;0;0;0;0;0;0
5;Assassin;40;6;6;82.692;36.82;88.462;21.499;11.538;11.538;1831.078;925.367;0;136.386;0;150.274;5.538;0;0;0.231;0;0;0;0;0;0;0
6;Nightblade;42;8;2;82.692;34.614;73.077;19.276;0;0;2181.301;1143.247;0;136.386;0;163.914;0;0;0;0.038;16.962;91.726;16.962;0;0;0;0
7;Dreameater;40;12;0;76.923;28.596;76.923;26.296;0;0;2393.756;595.53;0;63.099;0;33.867;0;7.971;2.038;0.038;4.077;15.941;2.038;0;0;0;0
8;LightShepherd;38;12;2;75;50.257;76.923;26.193;3.846;3.846;1238.462;368.573;0;49.163;56.46;28.196;0;0;0;0;0;0;0;2279.237;2.865;0;0.615
9;IronSpearman;36;14;2;71.154;37.835;53.846;24.187;3.846;3.846;1942.948;1639.853;0;29.92;0;640.415;0;0;1.615;0.169;1.615;1.61;0;0;0;0;0
10;Frostbound;34;18;0;65.385;40.973;46.154;20.856;0;0;1768.624;1733.918;0;14.23;0;467.411;0;0.346;0.346;0.154;11.923;0.346;0;0;0;0;0
11;Antimage;28;20;4;57.692;36.807;50;25.135;3.846;3.846;961.116;2498.53;0;5.367;0;997.858;0.192;0;0;0.185;3.846;0;0;0;0;0;0
12;WhirlMonk;24;16;12;57.692;39.3;57.692;26.56;23.077;26.923;1443.363;1792.976;0;5.367;0;425.69;0;0.664;2.808;0.154;0.885;0.341;0;0;0;0;0
13;Ranger;28;22;2;55.769;36.86;57.692;21.359;3.846;3.846;2006.52;704.655;0;4.217;0;35.311;0;0;0;0.385;5.558;27.502;0;0;0;0;0
14;FlameSwordsman;24;22;6;51.923;30.72;19.231;29.762;7.692;11.538;1117.112;1503.989;0;2.598;0;501.223;0;0;0;0;31.923;60.853;12.269;0;0;0;0
15;TrashShieldbearer;24;26;2;48.077;32.903;30.769;25.572;0;0;595.605;2371.665;0;1.582;0;940.051;0;0;0;0.038;0;0;0;0;0;0;0
16;Cryomancer;22;30;0;42.308;34.902;42.308;22.258;0;0;1897.447;863.819;0;0.717;0;43.009;0;0.385;0.346;0.246;17;0.385;0;0;0;0;0
17;TrashArcher;22;30;0;42.308;25.448;42.308;21.401;0;0;1597.254;649.357;0;0.717;0;38.9;0;0;0;0.154;0;0;0;0;0;0;0
18;Necromancer;17;33;2;34.615;25.011;36.538;29.262;3.846;3.846;762.223;1042.7;0;0.213;0;41.922;0;0;0;0.192;0;0;0;0;0.808;9.692;0
19;Emberkeeper;16;36;0;30.769;30.91;30.769;32.078;0;3.846;1429.48;1174.912;0;0.106;126.365;73.22;0;0;0;0.005;0;0;0;171.75;24.231;24.231;0.577
20;Druid;15;37;0;28.846;31.682;28.846;25.337;0;0;1499.703;1034.022;0;0.073;13.846;76.329;0;0;0;0.208;9.942;39.424;9.942;50.769;0.231;0.692;0
21;TrashHerbalist;12;40;0;23.077;22.87;23.077;27.146;0;0;372.785;992.545;0;0.02;329.921;64.866;0;0;0;0.192;0;0;0;1084.536;4.192;0;0
22;TrashBrawler;8;42;2;17.308;28.001;7.692;22.633;3.846;3.846;520.875;1452.132;0;0.005;0;284.416;0;0;0;0;0;0;0;0;0;0;0
23;TrashHexer;6;42;4;15.385;14.738;19.231;20.701;7.692;7.692;566.048;896.182;0;0.003;0;81.343;0;0;0;0.015;2.519;15.049;0;0;0;0;0
24;TrashCutthroat;6;44;2;13.462;22.605;7.692;20.34;3.846;3.846;470.735;1113.914;0;0.002;0;112.763;0;0;0;0;0;0;0;0;0;0;0
25;TrashBonecaller;2;48;2;5.769;6.161;7.692;24.848;3.846;7.692;169.651;972.849;0;0;0;63.133;0;0;0;0.015;0;0;0;0;0;0;0
26;Hemomancer;2;50;0;3.846;6.99;3.846;21.498;0;3.846;1528.753;1449.086;0;0;278.69;86.097;0;0;0;0.069;0.231;0.692;0.231;278.69;0;0;0
27;BaseRelic;0;50;2;1.923;0;0;17.972;3.846;3.846;234.924;1059.215;0;0;0;150.205;0;0;0;0;0;0;0;0;0;0;0
