Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Assassin;50;2;0;96.154;35.232;80.769;21.21;0;0;2046.902;910.904;0;1526.012;0;149.546;6.038;0;0;0.285;0;0;0;0;0;0;0;0;0
2;Defender;48;4;0;92.308;41.873;76.923;24.251;0;0;1244.486;2291.477;0;711.849;0;1566.532;0;1.609;1.654;0.223;3.308;6.433;0;0;536.451;22.121;0;0;0
3;Nightblade;46;4;2;90.385;35.229;69.231;18.114;0;0;2231.811;1154.084;0;516.398;0;166.289;0;0;0;0.038;17.615;96.456;17.615;0;0;0;0;0;0
4;Treant;46;6;0;88.462;34.698;84.615;24.474;0;0;1499.454;1843.121;28.499;382.814;0;1732.979;0;0;0;0.154;0;0;0;0;0;0;0;0;0
5;IronSpearman;44;8;0;84.615;34.633;61.538;21.664;0;0;1975.617;1616.022;0;218.942;0;644.584;0;0;1.615;0;1.615;1.61;0;0;79.914;3.689;0;0;0
6;Frostbound;42;10;0;80.769;37.578;53.846;19.891;0;0;1897.597;1709.762;0;129.253;0;464.374;0;0.308;0.308;0.154;12.769;0.308;0;0;0;0;0;0;0
7;LightShepherd;40;12;0;76.923;44.577;76.923;25.529;0;0;1246.154;360.24;0;77.826;47.265;27.504;0;0;0;0;0;0;0;1955.611;0;76.602;2.731;0;0.654
8;WaterMonk;36;16;0;69.231;36.198;61.538;22.481;0;0;1937.523;1638.297;0;29.219;0;441.831;0;0;4.538;0.031;21.385;48.345;0;0;501.009;22.285;0.462;2.308;0
9;WhirlMonk;36;16;0;69.231;34.503;32.692;20.735;0;0;1591.332;1886.9;0;29.219;0;447.449;0;0.633;2.808;0.154;0.885;0.341;0;0;0;0;0;0;0
10;Antimage;34;16;2;67.308;32.283;53.846;25.763;0;0;1029.625;2448.224;0;22.913;0;979.079;0.308;0;0;0.146;3.231;0;0;0;0;0;0;0;0
11;Ranger;34;18;0;65.385;33.471;65.385;21.456;0;0;2102.093;633.149;0;17.935;0;35.059;0;0;0;0.077;4.442;21.925;0;0;0;0;0;0;0
12;Arcanist;32;20;0;61.538;26.007;57.692;23.062;0;0;2338.99;799.352;0;10.876;0;46.376;0.346;0;0;0.077;43;253.526;0;0;46.154;2.001;0;0;0
13;TrashShieldbearer;26;24;2;51.923;32.097;34.615;25.506;0;0;623.326;2379.132;0;2.895;0;958.277;0;0;0;0.038;0;0;0;0;447.85;17.559;0;0;0
14;FlameSwordsman;24;24;4;50;30.39;11.538;21.715;3.846;3.846;1176.191;1535.899;0;2.207;0;515.243;0;0;0;0.154;33.5;64.314;12.962;0;0;0;0;0;0
15;Druid;24;28;0;46.154;46.786;46.154;25.694;0;0;1545.38;879.448;0;1.277;65.538;61.913;0;0;0;0.038;10.558;41.656;10.558;980.769;0;38.172;3.192;9.577;0
16;Cryomancer;22;30;0;42.308;35.388;42.308;22.929;0;0;2006.094;829.236;0;0.731;0;43.446;0;0.462;0.423;0.077;18.288;0.462;0;0;0;0;0;0;0
17;TrashArcher;20;28;4;42.308;27.606;46.154;21.61;7.692;7.692;1599.129;627.162;0;0.731;0;37.825;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Necromancer;17;35;0;32.692;24.573;28.846;27.403;0;0;773.885;1081.508;0;0.161;0;46.377;0;0;0;0.115;0;0;0;0;49.231;1.797;0.788;9.462;0
19;Emberkeeper;16;36;0;30.769;29.739;30.769;24.489;0;0;1450.537;1103.297;0;0.115;60.827;70.037;0;0;0;0.004;0;0;0;108.135;0;4.416;24.615;24.615;0.692
20;Hemomancer;14;36;2;28.846;19.842;30.769;18.724;3.846;3.846;2342.644;1284.99;0;0.082;427.902;76.431;0;0;0;0.069;0.269;0.808;0.269;427.902;0;15.712;0;0;0
21;TrashBrawler;13;39;0;25;23.292;3.846;21.617;0;0;545.441;1454.017;0;0.039;0;287.365;0;0;0;0.154;0;0;0;0;0;0;0;0;0
22;Dreameater;10;42;0;19.231;27.178;19.231;24.996;0;0;1034.609;1148.533;0;0.01;0;65.778;0;7.277;1.827;0.054;3.654;14.554;1.827;0;0;0;0;0;0
23;TrashHerbalist;8;44;0;15.385;32.306;15.385;23.644;0;0;360.882;864.93;0;0.003;156.269;55.407;0;0;0;0.192;0;0;0;917.807;0;38.818;4.231;0;0
24;TrashHexer;6;46;0;11.538;16.232;11.538;21.194;0;0;602.269;922.618;0;0.001;0;82.898;0;0;0;0.169;1.173;6.972;0;0;0;0;0;0;0
25;TrashCutthroat;4;48;0;7.692;10.268;0;18.45;0;0;475.251;1124.746;0;0;0;116.944;0;0;0;0;0;0;0;0;0;0;0;0;0
26;BaseRelic;2;50;0;3.846;25.581;0;18.81;0;0;246.315;1064.818;0;0;0;153.654;0;0;0;0;0;0;0;0;0;0;0;0;0
27;TrashBonecaller;0;52;0;0;0;0;21.716;0;0;164.582;1004.254;0;0;0;63.815;0;0;0;0.169;0;0;0;0;0;0;0;0;0
