STARTED: populate (master=bus:/)
PURGE: managed buses (18 removed)
BUS: SFX (created bus:/SFX)
BUS: Music (created bus:/Music)
BUS: SFX/Combat (created bus:/SFX/Combat)
BUS: SFX/UI (created bus:/SFX/UI)
BUS: SFX/Ambient (created bus:/SFX/Ambient)
BUS: SFX/Stingers (created bus:/SFX/Stingers)
PARAM: TimeScale (range 0.05..3 global=true)
AUTOMATION: SFX/Combat.pitch (8 points on TimeScale)
PURGE: stale events (0 removed)
OK: event:/SFX/Combat/attack (4 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Combat/fire (3 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Combat/hit (7 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Combat/evade (3 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Combat/shield (6 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Combat/heal (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Combat/cast (1 file(s), cat=cast, bus=SFX/Combat)
OK: event:/SFX/Combat/death (6 file(s), cat=death, bus=SFX/Combat)
OK: event:/SFX/Combat/apply (2 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Combat/expire (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Combat/tick (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/UI/ui (5 file(s), cat=ui, bus=SFX/UI)
OK: event:/Stingers/stinger (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Ambient/loop (1 file(s), cat=ambient, bus=SFX/Ambient)
OK: event:/Stingers/battle_start (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/victory (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/defeat (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/battle_reset (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Combat/unit_spawn (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Combat/step (5 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Combat/knockback_start (3 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Combat/knockback_land (3 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Combat/projectile_miss (2 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Combat/attack_interrupted (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Enemies/training_dummy/hit (4 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Feel/kill (5 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Feel/heavy_hit (5 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Feel/death_shatter (5 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Feel/finisher (2 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Relics/cryomancer/attack (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Relics/cryomancer/cast (2 file(s), cat=cast, bus=SFX/Combat)
OK: event:/SFX/Relics/light_shepherd/cast (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Relics/light_shepherd/fire (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Relics/whirl_monk/cast (1 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Relics/assassin/cast (1 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Relics/ranger/fire (2 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Relics/iron_spearman/attack (2 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Relics/defender/shield (3 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Relics/flame_swordsman/attack (2 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Relics/treant/attack (2 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Relics/druid/cast (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Effects/frozen/apply (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Effects/frozen/expire (5 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Effects/burn/apply (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Effects/burn/tick (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Effects/ignition/apply (1 file(s), cat=cast, bus=SFX/Combat)
OK: event:/SFX/Effects/spore_cloud/apply (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Effects/ice_chains_stun/apply (2 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Effects/resolute_strike_stun/apply (2 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Effects/stealth/apply (2 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Effects/stealth_buff/apply (1 file(s), cat=whoosh, bus=SFX/Combat)
